,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status
38,City Quay,28,2,False,30,False,Dublin,1457385758000,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",OPEN
39,Exchequer Street,8,16,False,24,False,Dublin,1457385841000,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",OPEN
40,Hatch Street,36,0,False,36,False,Dublin,1457385618000,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",OPEN
41,Charlemont Street,0,39,False,40,False,Dublin,1457385702000,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",OPEN
42,Hardwicke Place,11,14,True,25,False,Dublin,1457385690000,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",OPEN
43,Wolfe Tone Street,21,8,False,29,False,Dublin,1457385855000,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",OPEN
44,Francis Street,16,14,True,30,False,Dublin,1457385813000,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",OPEN
45,Greek Street,5,15,False,20,False,Dublin,1457385690000,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",OPEN
46,High Street,18,11,True,29,False,Dublin,1457385334000,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",OPEN
47,North Circular Road,8,22,True,30,False,Dublin,1457385816000,NORTH CIRCULAR ROAD,60,"{'lat': 53.359624, 'lng': -6.260348}",OPEN
48,Talbot Street,10,30,False,40,False,Dublin,1457385868000,TALBOT STREET,38,"{'lat': 53.350974, 'lng': -6.25294}",OPEN
49,Sir Patrick's Dun,40,0,True,40,False,Dublin,1457385552000,SIR PATRICK DUN'S,58,"{'lat': 53.339218, 'lng': -6.240642}",OPEN
50,New Central Bank,10,30,False,40,False,Dublin,1457385825000,NEW CENTRAL BANK,66,"{'lat': 53.347122, 'lng': -6.234749}",OPEN
51,Georges Quay,20,0,False,20,False,Dublin,1454065289000,GEORGES QUAY,16,"{'lat': 53.347508, 'lng': -6.252192}",CLOSED
52,Mount Brown,2,20,False,22,False,Dublin,1457385554000,MOUNT BROWN,82,"{'lat': 53.341645, 'lng': -6.29719}",OPEN
53,Royal Hospital,13,27,True,40,False,Dublin,1457385775000,ROYAL HOSPITAL,95,"{'lat': 53.343897, 'lng': -6.29706}",OPEN
54,Heuston Station (Central),0,40,False,40,False,Dublin,1457385369000,HEUSTON STATION (CENTRAL),93,"{'lat': 53.346603, 'lng': -6.296924}",OPEN
55,Townsend Street,19,1,False,20,False,Dublin,1457385778000,TOWNSEND STREET,22,"{'lat': 53.345922, 'lng': -6.254614}",OPEN
56,Portobello Harbour,9,21,False,30,False,Dublin,1457385609000,PORTOBELLO HARBOUR,34,"{'lat': 53.330362, 'lng': -6.265163}",OPEN
57,Custom House Quay,24,6,False,30,False,Dublin,1457385281000,CUSTOM HOUSE QUAY,8,"{'lat': 53.347884, 'lng': -6.248048}",OPEN
58,Molesworth Street,20,0,False,20,False,Dublin,1457385675000,MOLESWORTH STREET,27,"{'lat': 53.341288, 'lng': -6.258117}",OPEN
59,Kilmainham Lane,4,26,False,30,False,Dublin,1457385555000,KILMAINHAM LANE,96,"{'lat': 53.341805, 'lng': -6.305085}",OPEN
60,Market Street South,23,15,False,38,False,Dublin,1457385347000,MARKET STREET SOUTH,76,"{'lat': 53.342296, 'lng': -6.287661}",OPEN
61,Kevin Street,38,2,True,40,False,Dublin,1457385862000,KEVIN STREET,71,"{'lat': 53.337757, 'lng': -6.267699}",OPEN
62,Eccles Street East,20,7,False,27,False,Dublin,1457385575000,ECCLES STREET EAST,79,"{'lat': 53.358115, 'lng': -6.265601}",OPEN
63,Grand Canal Dock,39,1,False,40,False,Dublin,1457385596000,GRAND CANAL DOCK,69,"{'lat': 53.342638, 'lng': -6.238695}",OPEN
64,Merrion Square East,30,0,False,30,False,Dublin,1457385651000,MERRION SQUARE EAST,25,"{'lat': 53.339434, 'lng': -6.246548}",OPEN
65,York Street West,40,0,False,40,False,Dublin,1457385349000,YORK STREET WEST,51,"{'lat': 53.339334, 'lng': -6.264699}",OPEN
66,St. Stephen's Green South,29,1,True,30,False,Dublin,1457385353000,ST. STEPHEN'S GREEN SOUTH,37,"{'lat': 53.337494, 'lng': -6.26199}",OPEN
67,Denmark Street Great,19,1,False,20,False,Dublin,1457385613000,DENMARK STREET GREAT,59,"{'lat': 53.35561, 'lng': -6.261397}",OPEN
68,Heuston Station (Car Park),13,27,False,40,False,Dublin,1457385779000,HEUSTON STATION (CAR PARK),94,"{'lat': 53.346985, 'lng': -6.297804}",OPEN
69,St. Stephen's Green East,40,0,True,40,False,Dublin,1457385852000,ST. STEPHEN'S GREEN EAST,36,"{'lat': 53.337824, 'lng': -6.256035}",OPEN
70,Eccles Street,1,19,False,20,False,Dublin,1457385296000,ECCLES STREET,12,"{'lat': 53.359246, 'lng': -6.269779}",OPEN
71,Mater Hospital,9,31,False,40,False,Dublin,1457385438000,MATER HOSPITAL,78,"{'lat': 53.359967, 'lng': -6.264828}",OPEN
72,Blessington Street,7,13,True,20,False,Dublin,1457385615000,BLESSINGTON STREET,2,"{'lat': 53.356769, 'lng': -6.26814}",OPEN
73,Merrion Square West,20,0,True,20,False,Dublin,1457385767000,MERRION SQUARE WEST,26,"{'lat': 53.339764, 'lng': -6.251988}",OPEN
74,Convention Centre,40,0,True,40,False,Dublin,1457385716000,CONVENTION CENTRE,65,"{'lat': 53.34744, 'lng': -6.238523}",OPEN
75,Hardwicke Street,14,2,False,16,False,Dublin,1457385741000,HARDWICKE STREET,15,"{'lat': 53.355473, 'lng': -6.264423}",OPEN
76,Smithfield,5,25,False,30,False,Dublin,1457385863000,SMITHFIELD,35,"{'lat': 53.347692, 'lng': -6.278214}",OPEN
77,Dame Street,16,0,True,16,False,Dublin,1457385800000,DAME STREET,10,"{'lat': 53.344007, 'lng': -6.266802}",OPEN
78,Sandwith Street,26,14,True,40,False,Dublin,1457385599000,SANDWITH STREET,64,"{'lat': 53.345203, 'lng': -6.247163}",OPEN
79,Princes Street / O'Connell Street,12,11,True,23,False,Dublin,1457385772000,PRINCES STREET / O'CONNELL STREET,33,"{'lat': 53.349013, 'lng': -6.260311}",OPEN
80,Grattan Street,23,0,False,23,False,Dublin,1457385505000,GRATTAN STREET,57,"{'lat': 53.339629, 'lng': -6.243778}",OPEN
81,St James Hospital (Luas),5,35,False,40,False,Dublin,1457385420000,ST JAMES HOSPITAL (LUAS),80,"{'lat': 53.341359, 'lng': -6.292951}",OPEN
82,Bolton Street,10,9,False,20,False,Dublin,1457385613000,BOLTON STREET,3,"{'lat': 53.351182, 'lng': -6.269859}",OPEN
83,Strand Street Great,22,13,True,35,False,Dublin,1457385492000,STRAND STREET GREAT,46,"{'lat': 53.347082, 'lng': -6.2641919999999995}",OPEN
84,Barrow Street,10,30,True,40,False,Dublin,1457385441000,BARROW STREET,70,"{'lat': 53.341655, 'lng': -6.236198}",OPEN
85,Mountjoy Square West,3,27,False,30,False,Dublin,1457385568000,MOUNTJOY SQUARE WEST,28,"{'lat': 53.356299, 'lng': -6.258586}",OPEN
86,Wilton Terrace,17,3,True,20,False,Dublin,1457385856000,WILTON TERRACE,39,"{'lat': 53.332383, 'lng': -6.252717}",OPEN
87,Leinster Street South,30,0,False,30,False,Dublin,1457385483000,LEINSTER STREET SOUTH,21,"{'lat': 53.34218, 'lng': -6.254485}",OPEN
88,James Street,22,18,True,40,False,Dublin,1457385374000,JAMES STREET,75,"{'lat': 53.343456, 'lng': -6.287409}",OPEN
89,Parkgate Street,0,38,True,38,False,Dublin,1457385719000,PARKGATE STREET,86,"{'lat': 53.347972, 'lng': -6.291804}",OPEN
90,Heuston Bridge (South),1,24,False,25,False,Dublin,1457385773000,HEUSTON BRIDGE (SOUTH),100,"{'lat': 53.347106, 'lng': -6.292041}",OPEN
91,Cathal Brugha Street,16,3,False,20,False,Dublin,1457385788000,CATHAL BRUGHA STREET,24,"{'lat': 53.352149, 'lng': -6.260533}",OPEN
92,Rothe Abbey,0,35,True,35,False,Dublin,1457385734000,ROTHE ABBEY,85,"{'lat': 53.338776, 'lng': -6.30395}",OPEN
93,Upper Sherrard Street,3,27,False,30,False,Dublin,1457385645000,UPPER SHERRARD STREET,44,"{'lat': 53.358437, 'lng': -6.260641}",OPEN
94,Fitzwilliam Square East,40,0,True,40,False,Dublin,1457385302000,FITZWILLIAM SQUARE EAST,89,"{'lat': 53.335211, 'lng': -6.2509}",OPEN
95,Harcourt Terrace,16,4,False,20,False,Dublin,1457385409000,HARCOURT TERRACE,41,"{'lat': 53.332763, 'lng': -6.257942}",OPEN
96,Jervis Street,21,0,True,21,False,Dublin,1457385450000,JERVIS STREET,40,"{'lat': 53.3483, 'lng': -6.2666509999999995}",OPEN
97,Ormond Quay Upper,18,10,True,29,False,Dublin,1457385411000,ORMOND QUAY UPPER,29,"{'lat': 53.346057, 'lng': -6.268001}",OPEN
98,Emmet Road,0,40,False,40,False,Dublin,1457385637000,EMMET ROAD,83,"{'lat': 53.340714, 'lng': -6.308191}",OPEN
99,Heuston Bridge (North),1,39,False,40,False,Dublin,1457385819000,HEUSTON BRIDGE (NORTH),92,"{'lat': 53.347802, 'lng': -6.292432}",OPEN
100,Blackhall Place,0,30,False,30,False,Dublin,1457385852000,BLACKHALL PLACE,88,"{'lat': 53.3488, 'lng': -6.281637}",OPEN
